dataset,algorithm,approx_density,exact_density,quality_percent,runtime_s
ca-netscience,Charikar,4.0,4.0,100.0,0.024531991999992897
ca-netscience,Greedy++,4.0,4.0,100.0,0.151099046000013
ca-CSphd,Charikar,1.25,1.5,83.33333333333334,0.030201404999843362
ca-CSphd,Greedy++,1.5,1.5,100.0,0.7140636749998066
ca-GrQc,Charikar,22.391304347826086,22.391304347826086,100.0,0.0641842469999574
ca-GrQc,Greedy++,22.391304347826086,22.391304347826086,100.0,2.967600632000085
ca-HepTh,Charikar,119.0,119.0,100.0,0.5860188259998722
ca-HepTh,Greedy++,119.0,119.0,100.0,9.132268729000089
ca-dblp-2012,Charikar,56.5,56.56521739130435,99.8847040737894,8.14525535000007
ca-dblp-2012,Greedy++,56.56521739130435,56.56521739130435,100.0,277.386614367
